index,ID,satellite,time,score_scenario,selected
0,0127,0,2025-11-21 10:12:20,0.4679245283018868,0
1,0127,0,2025-11-21 10:12:30,0.4679245283018868,1
2,0127,0,2025-11-21 10:12:40,0.4679245283018868,0
3,0127,0,2025-11-21 10:12:50,0.4679245283018868,0
4,0127,0,2025-11-21 10:13:00,0.4679245283018868,0
5,0083,0,2025-11-21 10:13:10,0.8528301886792453,1
6,0127,0,2025-11-21 10:13:10,0.4679245283018868,0
7,0083,0,2025-11-21 10:13:20,0.8528301886792453,0
8,0125,0,2025-11-21 10:13:20,0.1320754716981132,0
9,0126,0,2025-11-21 10:13:20,0.6339622641509434,0
10,0127,0,2025-11-21 10:13:20,0.4679245283018868,0
11,003,0,2025-11-21 10:13:30,0.3924528301886793,0
12,0083,0,2025-11-21 10:13:30,0.8528301886792453,0
13,0125,0,2025-11-21 10:13:30,0.1320754716981132,0
14,0126,0,2025-11-21 10:13:30,0.6339622641509434,0
15,0127,0,2025-11-21 10:13:30,0.4679245283018868,0
16,003,0,2025-11-21 10:13:40,0.3924528301886793,0
17,0083,0,2025-11-21 10:13:40,0.8528301886792453,0
18,0125,0,2025-11-21 10:13:40,0.1320754716981132,1
19,0126,0,2025-11-21 10:13:40,0.6339622641509434,0
20,0127,0,2025-11-21 10:13:40,0.4679245283018868,0
21,003,0,2025-11-21 10:13:50,0.3924528301886793,1
22,0083,0,2025-11-21 10:13:50,0.8528301886792453,0
23,0125,0,2025-11-21 10:13:50,0.1320754716981132,0
24,0126,0,2025-11-21 10:13:50,0.6339622641509434,0
25,0127,0,2025-11-21 10:13:50,0.4679245283018868,0
26,003,0,2025-11-21 10:14:00,0.3924528301886793,0
27,0083,0,2025-11-21 10:14:00,0.8528301886792453,0
28,0125,0,2025-11-21 10:14:00,0.1320754716981132,0
29,0126,0,2025-11-21 10:14:00,0.6339622641509434,0
30,003,0,2025-11-21 10:14:10,0.3924528301886793,0
31,0076,0,2025-11-21 10:14:10,0.4679245283018868,0
32,0083,0,2025-11-21 10:14:10,0.8528301886792453,0
33,0125,0,2025-11-21 10:14:10,0.1320754716981132,0
34,0126,0,2025-11-21 10:14:10,0.6339622641509434,0
35,0148,0,2025-11-21 10:14:10,0.2603773584905660,1
36,0202,0,2025-11-21 10:14:10,0.8528301886792453,0
37,003,0,2025-11-21 10:14:20,0.3924528301886793,0
38,0076,0,2025-11-21 10:14:20,0.4679245283018868,0
39,0083,0,2025-11-21 10:14:20,0.8528301886792453,0
40,0125,0,2025-11-21 10:14:20,0.1320754716981132,0
41,0126,0,2025-11-21 10:14:20,0.6339622641509434,0
42,0148,0,2025-11-21 10:14:20,0.2603773584905660,1
43,0202,0,2025-11-21 10:14:20,0.8528301886792453,0
44,003,0,2025-11-21 10:14:30,0.3924528301886793,0
45,0076,0,2025-11-21 10:14:30,0.4679245283018868,0
46,0083,0,2025-11-21 10:14:30,0.8528301886792453,0
47,0125,0,2025-11-21 10:14:30,0.1320754716981132,0
48,0126,0,2025-11-21 10:14:30,0.6339622641509434,0
49,0202,0,2025-11-21 10:14:30,0.8528301886792453,0
50,003,0,2025-11-21 10:14:40,0.3924528301886793,0
51,0076,0,2025-11-21 10:14:40,0.4679245283018868,0
52,0083,0,2025-11-21 10:14:40,0.8528301886792453,0
53,0125,0,2025-11-21 10:14:40,0.1320754716981132,0
54,0126,0,2025-11-21 10:14:40,0.6339622641509434,0
55,0202,0,2025-11-21 10:14:40,0.8528301886792453,0
56,003,0,2025-11-21 10:14:50,0.3924528301886793,0
57,0076,0,2025-11-21 10:14:50,0.4679245283018868,0
58,0125,0,2025-11-21 10:14:50,0.1320754716981132,0
59,0126,0,2025-11-21 10:14:50,0.6339622641509434,1
60,0202,0,2025-11-21 10:14:50,0.8528301886792453,0
61,0207,0,2025-11-21 10:14:50,0.0452830188679245,0
62,003,0,2025-11-21 10:15:00,0.3924528301886793,0
63,0076,0,2025-11-21 10:15:00,0.4679245283018868,0
64,0125,0,2025-11-21 10:15:00,0.1320754716981132,0
65,0126,0,2025-11-21 10:15:00,0.6339622641509434,0
66,0202,0,2025-11-21 10:15:00,0.8528301886792453,0
67,0207,0,2025-11-21 10:15:00,0.0452830188679245,0
68,003,0,2025-11-21 10:15:10,0.3924528301886793,0
69,0076,0,2025-11-21 10:15:10,0.4679245283018868,0
70,0125,0,2025-11-21 10:15:10,0.1320754716981132,1
71,0126,0,2025-11-21 10:15:10,0.6339622641509434,0
72,0202,0,2025-11-21 10:15:10,0.8528301886792453,0
73,0207,0,2025-11-21 10:15:10,0.0452830188679245,0
74,003,0,2025-11-21 10:15:20,0.3924528301886793,0
75,0076,0,2025-11-21 10:15:20,0.4679245283018868,0
76,0202,0,2025-11-21 10:15:20,0.8528301886792453,0
